team,Avg_AST,Avg_BLK,Avg_STL,Avg_TOV,Avg_TOV_team,Avg_F_tech,Avg_F_personal,Avg_largest_lead,Avg_FGP_2,Avg_FGP_3,Avg_FT_Percentage,Avg_Total_Rebounds,Total_Wins,Total_Matches,Region
academy_of_art_urban_knights,10.5,5.5,9.0,14.5,1.5,0.0,16.5,2.5,43.29268292682927,16.077441077441076,47.22222222222222,35.5,0,2,East
agnes_scott_college_scotties,5.0,2.0,4.5,38.0,1.5,0.0,11.5,0.0,20.91216216216216,17.48251748251748,47.22222222222222,30.5,0,2,East
alabama_am_bulldogs,11.0,4.625,6.083333333333333,16.291666666666668,0.8333333333333334,0.041666666666666664,16.791666666666668,8.583333333333334,40.264079360743466,26.435890498390496,67.86356516202531,39.541666666666664,12,24,East
alabama_huntsville_chargers,11.0,1.0,4.0,28.0,1.0,0.0,16.0,1.0,41.46341463414634,17.647058823529413,70.0,30.0,0,1,East
alcorn_state_lady_braves,9.214285714285714,1.5714285714285714,6.714285714285714,20.5,0.8571428571428571,0.35714285714285715,22.928571428571427,3.357142857142857,34.31375742764174,30.642085731529676,63.83755795982013,29.0,1,14,East
alderson_broaddus_battlers,13.0,2.0,5.0,29.0,4.0,0.0,24.0,7.0,40.0,36.0,41.66666666666667,44.0,0,1,East
american_university_eagles,14.225806451612904,2.3870967741935485,8.419354838709678,15.64516129032258,0.9354838709677419,0.0,15.32258064516129,10.741935483870968,48.295211018828255,27.510599011273133,72.6009324998031,31.870967741935484,23,31,East
angelo_state_rams,10.0,0.0,5.0,20.0,2.0,0.0,12.0,1.0,34.21052631578947,18.75,85.71428571428571,36.0,0,1,East
antelope_valley,7.333333333333333,1.3333333333333333,6.666666666666667,22.0,0.0,0.0,14.666666666666666,0.0,14.629629629629628,18.419312169312168,59.9537037037037,37.666666666666664,0,3,East
arizona_christian_firestorm,5.0,0.0,9.0,41.0,2.0,0.0,12.0,0.0,40.625,30.76923076923077,50.0,32.0,0,1,East
arizona_state_sun_devils,12.846153846153847,3.730769230769231,7.230769230769231,14.73076923076923,0.9230769230769231,0.19230769230769232,17.692307692307693,11.76923076923077,43.47508103630076,30.81415990632124,73.54967421013814,36.73076923076923,12,26,East
arkansas_baptist_buffaloes,6.0,0.0,6.0,27.0,0.0,0.0,12.0,0.0,20.0,23.076923076923077,28.57142857142857,24.0,0,1,East
arkansas_pine_bluff_golden_lions,13.92,3.12,8.16,15.8,0.32,0.16,17.48,12.48,44.667822444338725,28.215110802875657,68.60052188649308,41.32,12,25,East
arkansas_state_red_wolves,14.428571428571429,2.107142857142857,9.142857142857142,14.857142857142858,0.35714285714285715,0.10714285714285714,19.535714285714285,14.75,46.73676034166317,32.781422336607854,71.20670872746734,39.5,12,28,East
arlington_baptist_patriots,9.75,0.75,3.5,30.0,1.25,0.0,12.0,0.5,26.667647828362114,19.429590017825312,55.11363636363636,26.5,0,4,East
army_black_knights,11.206896551724139,2.413793103448276,6.620689655172414,17.24137931034483,0.7586206896551724,0.0,16.137931034482758,9.10344827586207,43.2225748444739,29.39695137452036,67.92892434641628,40.89655172413793,16,29,East
asbury_eagles,7.0,3.0,6.0,14.0,0.0,0.0,16.0,3.0,28.000000000000004,16.666666666666664,100.0,39.0,0,1,East
auburn_montgomery_senators,9.0,2.0,2.5,25.5,3.0,0.0,16.5,5.0,49.086021505376344,23.214285714285715,53.57142857142857,32.5,0,2,East
auburn_tigers,11.214285714285714,3.4285714285714284,8.464285714285714,14.964285714285714,0.7857142857142857,0.14285714285714285,18.571428571428573,9.964285714285714,42.07523361365502,27.918048655277754,65.14444242275809,36.17857142857143,10,28,East
ave_maria_gyrenes,6.0,4.0,5.666666666666667,30.666666666666668,1.0,0.0,15.0,1.3333333333333333,32.50900900900901,24.814814814814813,68.18555008210181,40.666666666666664,0,3,East
baker_university_baker,8.0,6.0,4.0,21.0,2.0,0.0,12.0,0.0,31.428571428571427,25.0,81.25,27.0,0,1,East
bellarmine_knights,11.821428571428571,2.75,6.75,18.25,0.6071428571428571,0.17857142857142858,18.035714285714285,6.071428571428571,41.25239210415968,31.915292537575144,72.9845959269382,33.535714285714285,4,28,East
belmont_abbey_crusaders,7.0,2.0,8.0,25.0,1.0,0.0,15.0,0.0,34.48275862068966,23.52941176470588,57.14285714285714,26.0,0,1,East
bethel_tn_wildcats,8.0,2.0,4.0,16.0,1.0,0.0,24.0,0.0,41.66666666666667,15.789473684210526,73.91304347826086,26.0,0,1,East
bethesda_university_lion_angels,6.5,1.0,4.0,36.0,3.0,0.0,12.5,0.0,14.953886693017127,19.87179487179487,50.0,28.0,0,2,East
bethune_cookman_wildcats,9.88,2.4,8.52,20.28,1.16,0.36,18.04,5.96,40.832744418861175,27.78631952842479,64.25452180357976,35.88,5,25,East
binghamton_bearcats,12.5,3.0357142857142856,6.857142857142857,15.892857142857142,0.39285714285714285,0.07142857142857142,15.785714285714286,11.071428571428571,44.85323766022963,29.237394394921363,73.62199259667916,34.142857142857146,9,28,East
biola_eagles,9.0,1.0,8.0,21.0,2.0,0.0,10.0,0.0,52.5,25.0,100.0,30.0,0,1,East
blackburn_beavers,5.0,0.0,14.0,34.0,0.0,0.0,18.0,0.0,41.66666666666667,20.0,77.77777777777779,27.0,0,1,East
blue_mountain_college_toppers,10.0,1.0,6.0,18.0,0.0,0.0,18.0,0.0,31.03448275862069,25.925925925925924,78.57142857142857,34.0,0,1,East
bluefield_state_big_blues,8.5,2.0,5.0,22.0,1.0,0.0,12.0,0.0,26.134301270417424,23.905723905723903,62.5,28.0,0,2,East
