team,Avg_AST,Avg_BLK,Avg_STL,Avg_TOV,Avg_TOV_team,Avg_F_tech,Avg_F_personal,Avg_largest_lead,Avg_FGP_2,Avg_FGP_3,Avg_FT_Percentage,Avg_Total_Rebounds,Total_Wins,Total_Matches,Region,Ranking_Score,Predicted_Ranking_Score,Rank
louisville_cardinals,15.862068965517242,4.413793103448276,9.586206896551724,14.448275862068966,0.2758620689655172,0.4137931034482758,15.93103448275862,23.517241379310345,49.10772486737861,36.655370444670645,69.75135698139329,38.96551724137931,25,29,South,20.833333333333336,20.80379,1
iowa_state_cyclones,14.28125,3.71875,5.375,12.78125,0.46875,0.03125,12.75,20.96875,47.441620013045785,38.70304519270305,83.2651445375954,39.71875,26,32,South,20.484848484848484,20.482851,2
iu_indianapolis_jaguars,14.964285714285714,2.9285714285714284,5.642857142857143,15.714285714285714,1.0714285714285714,0.0,12.464285714285714,19.642857142857142,52.44224223305344,36.9696998664913,74.37267425559568,38.892857142857146,24,28,South,19.862068965517242,19.85973,3
virginia_tech_hokies,14.28125,3.5,4.46875,12.875,0.34375,0.03125,14.3125,19.9375,50.06013081851336,36.26702351803931,74.48936124809286,36.40625,23,32,South,16.03030303030303,18.409586,4
missouri_state_lady_bears,12.806451612903226,5.032258064516129,9.290322580645162,13.096774193548388,0.6451612903225806,0.032258064516129,17.838709677419356,18.32258064516129,41.27927318457633,27.158523825232106,72.97411440759079,41.83870967741935,24,31,South,18.0,17.99716,5
dayton_flyers,13.192307692307692,4.076923076923077,6.076923076923077,12.692307692307692,0.4230769230769231,0.1538461538461538,15.5,17.153846153846153,42.97001804423334,33.474694649644434,68.3067146797344,42.19230769230769,22,26,South,17.925925925925924,17.925404,6
youngstown_state_penguins,14.827586206896552,2.3448275862068964,6.586206896551724,14.379310344827584,1.2413793103448276,0.0689655172413793,14.96551724137931,16.03448275862069,48.365519522452665,31.835061773271303,71.14524516991666,37.0,23,29,South,17.633333333333333,17.629,7
iowa_hawkeyes,19.466666666666665,3.2,7.0,14.866666666666667,0.3333333333333333,0.1,15.633333333333333,19.9,58.59718544268892,34.6960255566519,83.24055545417774,38.4,23,30,South,17.06451612903226,17.063519,8
indiana_hoosiers,14.166666666666666,3.4,6.633333333333334,13.066666666666666,0.3,0.0333333333333333,15.466666666666669,16.6,49.315962934448834,33.895654730895004,75.13340588054349,36.3,22,30,South,15.612903225806452,16.918169,9
toledo_rockets,14.3,3.2,6.233333333333333,12.733333333333333,0.4666666666666667,0.0666666666666666,15.866666666666667,17.133333333333333,50.586959330167474,31.547925743862404,73.42416346422205,41.3,26,30,South,21.806451612903228,16.829176,10
kansas_city_roos,14.709677419354838,2.677419354838709,6.580645161290323,14.451612903225806,0.7419354838709677,0.0,15.903225806451612,13.580645161290322,47.0509374910702,35.2748598398091,76.43626629284405,38.354838709677416,23,31,South,16.53125,16.520784,11
cleveland_state_vikings,11.814814814814817,4.185185185185185,9.666666666666666,16.037037037037038,0.925925925925926,0.1851851851851851,15.0,17.14814814814815,45.45531614541901,30.4203223582832,69.67823223528534,40.888888888888886,19,27,South,12.892857142857144,15.946119,12
drake_bulldogs,18.9,4.266666666666667,7.233333333333333,17.666666666666668,0.5666666666666667,0.0,15.033333333333331,16.9,54.73470989319088,32.58909293149095,74.74967310636647,40.833333333333336,18,30,South,10.451612903225808,15.780245,13
notre_dame_fighting_irish,17.066666666666666,5.333333333333333,8.833333333333334,15.133333333333333,0.7,0.0333333333333333,13.066666666666666,18.8,49.42569740159638,32.62544655688641,69.49416133402201,40.53333333333333,22,30,South,15.612903225806452,15.611113,14
northern_kentucky_norse,12.344827586206897,3.931034482758621,8.275862068965518,14.827586206896552,0.6896551724137931,0.0,14.137931034482758,14.620689655172416,46.49355775052416,30.507704921753835,69.74952747484232,38.03448275862069,21,29,South,14.7,14.698913,15
depaul_blue_demons,18.59375,3.5625,9.9375,13.84375,0.28125,0.0,15.09375,18.6875,50.37559923255184,34.66690909895289,77.64687295257632,40.40625,22,32,South,14.666666666666666,14.666615,16
murray_state_racers,15.433333333333334,2.3,5.133333333333334,14.666666666666666,0.9,0.0,11.333333333333334,18.73333333333333,52.179351937724284,36.8849803819618,80.24807300169057,40.0,21,30,South,14.225806451612902,14.226608,17
marquette_golden_eagles,17.548387096774192,3.0,7.096774193548387,15.32258064516129,0.5483870967741935,0.0,13.225806451612904,15.258064516129032,45.0818228702858,31.130448720581544,69.68848655718226,40.58064516129032,21,31,South,13.78125,13.78121,18
northern_iowa_panthers,13.870967741935484,4.32258064516129,6.580645161290323,12.709677419354838,0.5806451612903226,0.032258064516129,14.35483870967742,17.64516129032258,49.39497443743053,30.41766948254384,77.13161240925147,37.41935483870968,21,31,South,13.78125,13.78078,19
green_bay_phoenix,14.26923076923077,2.5,7.115384615384615,13.615384615384617,0.8076923076923077,0.0,14.846153846153848,15.192307692307692,44.08239803672315,32.69343668550335,79.355907866261,35.30769230769231,19,26,South,13.37037037037037,13.370931,20
kansas_jayhawks,12.96551724137931,5.758620689655173,8.241379310344827,17.344827586206897,0.2068965517241379,0.1034482758620689,16.655172413793103,15.413793103448276,48.133532542588505,34.4336480715176,74.9511201845165,39.48275862068966,20,29,South,13.333333333333332,13.333103,21
southern_illinois_salukis,13.866666666666667,2.2333333333333334,8.0,13.2,0.9333333333333332,0.0666666666666666,14.566666666666666,14.533333333333331,46.39383929858063,30.09879314871575,72.38665043542703,35.4,21,30,South,14.225806451612902,11.703953,22
