team,Avg_AST,Avg_BLK,Avg_STL,Avg_TOV,Avg_TOV_team,Avg_F_tech,Avg_F_personal,Avg_largest_lead,Avg_FGP_2,Avg_FGP_3,Avg_FT_Percentage,Avg_Total_Rebounds,Total_Wins,Total_Matches,Region,Ranking_Score,Predicted_Ranking_Score,Rank
nc_state_wolfpack,14.25,3.03125,7.28125,12.28125,0.21875,0.09375,13.1875,23.125,50.80936713746515,36.78407625916386,76.7492870327202,42.15625,29,32,East,25.484848484848484,25.371582,1
liberty_flames,16.366666666666667,3.8,5.8,15.433333333333334,0.7666666666666667,0.0333333333333333,16.5,21.5,51.90983922004303,31.25192116497441,66.52110534355789,42.06666666666667,27,30,East,23.516129032258064,23.486988,2
drexel_dragons,16.70967741935484,2.935483870967742,7.387096774193548,11.096774193548388,0.7096774193548387,0.0967741935483871,14.0,15.483870967741936,47.954082493788135,29.70793162098944,75.39625647661289,35.903225806451616,26,31,East,21.125,21.11591,3
massachusetts_minutewomen,14.5625,2.6875,7.71875,13.46875,0.375,0.03125,14.625,15.75,49.03405710837171,32.43830769952535,69.30232336999946,40.53125,26,32,East,20.484848484848484,20.475903,4
uconn_huskies,18.83333333333333,4.733333333333333,9.3,14.133333333333333,0.5666666666666667,0.0333333333333333,13.566666666666666,26.73333333333333,57.11009545596645,33.7706785603665,70.34959141878647,38.66666666666666,25,30,East,20.161290322580644,20.157408,5
lehigh_mountain_hawks,15.4,4.366666666666666,7.033333333333333,13.766666666666667,0.5333333333333333,0.0,12.2,16.3,48.14133491126157,31.74030936845189,74.52006612076944,39.13333333333333,19,30,East,11.64516129032258,19.68849,6
campbell_fighting_camels,15.655172413793103,3.4827586206896552,8.482758620689655,15.96551724137931,0.7931034482758621,0.0344827586206896,14.655172413793103,19.27586206896552,48.053818069968266,32.3834945055352,66.82626829553365,34.827586206896555,22,29,East,16.133333333333333,19.430603,7
princeton_tigers,13.77777777777778,2.6666666666666665,10.25925925925926,13.296296296296296,0.6666666666666666,0.0,15.962962962962964,23.33333333333333,44.20147166190832,35.79676336460312,74.70350704046356,39.66666666666666,23,27,East,18.892857142857142,18.886913,8
buffalo_bulls,14.87878787878788,3.9696969696969697,9.515151515151516,13.969696969696969,0.4545454545454545,0.3636363636363636,14.0,16.727272727272727,46.87601296001442,31.9618335976068,72.05538278610882,42.0,25,33,East,18.38235294117647,18.374254,9
towson_tigers,13.733333333333333,4.666666666666667,8.166666666666666,14.266666666666667,0.3666666666666666,0.6333333333333333,15.733333333333333,19.566666666666663,43.96998163601579,32.524027103892266,70.3918743203057,44.9,23,30,East,17.06451612903226,17.059805,10
delaware_blue_hens,11.966666666666669,3.633333333333333,7.8,13.933333333333334,0.2333333333333333,0.0666666666666666,16.133333333333333,15.6,41.96198536140853,29.96608242119078,70.32701514490348,44.4,23,30,East,17.06451612903226,17.032358,11
rhode_island_rams,13.857142857142858,3.0357142857142856,7.857142857142857,14.357142857142858,0.7857142857142857,0.1071428571428571,12.5,18.178571428571427,46.5829888152399,34.594317545445364,66.32298231217405,39.285714285714285,22,28,East,16.689655172413794,16.67363,12
columbia_lions,16.178571428571427,4.071428571428571,7.035714285714286,17.571428571428573,0.4642857142857143,0.0714285714285714,16.964285714285715,13.892857142857142,48.04581658947954,31.62861210952135,62.52891192911376,42.57142857142857,22,28,East,16.689655172413794,16.656845,13
stony_brook_seawolves,13.142857142857142,3.1785714285714284,7.357142857142857,14.892857142857142,0.6071428571428571,0.0714285714285714,14.321428571428571,16.892857142857142,46.569726730229945,30.498340074384966,76.3271873426512,39.46428571428572,23,28,East,18.24137931034483,16.58874,14
american_university_eagles,14.225806451612904,2.3870967741935485,8.419354838709678,15.64516129032258,0.935483870967742,0.0,15.32258064516129,10.741935483870968,48.295211018828255,27.510599011273133,72.6009324998031,31.870967741935484,23,31,East,16.53125,16.432789,15
bucknell_bison,13.125,3.34375,7.28125,12.0,0.46875,0.0625,13.53125,15.375,44.758506083446605,32.75994146109888,70.72395222033043,34.84375,23,32,East,16.03030303030303,16.044247,16
north_carolina_tar_heels,14.148148148148149,3.925925925925926,9.814814814814817,13.77777777777778,0.4444444444444444,0.1481481481481481,15.88888888888889,26.814814814814813,44.57928113894764,32.159171337327614,70.66792814645393,43.55555555555556,21,27,East,15.75,15.748552,17
villanova_wildcats,15.333333333333334,3.633333333333333,7.566666666666666,12.833333333333334,0.6666666666666666,0.0,14.6,13.766666666666667,46.96810363222912,30.44307704295309,76.5482755262167,35.2,22,30,East,15.612903225806452,15.64374,18
fairfield_stags,14.32258064516129,2.4516129032258065,7.870967741935484,11.32258064516129,0.3870967741935484,0.032258064516129,12.483870967741936,15.451612903225806,45.95899363466213,33.985041670825154,75.76156865206102,33.54838709677419,25,31,East,19.53125,15.597155,19
harvard_crimson,15.25925925925926,2.6296296296296298,10.77777777777778,12.407407407407408,0.3703703703703703,0.0,17.14814814814815,15.48148148148148,43.88245908192104,32.932170674117025,66.92442423290377,36.851851851851855,13,27,East,6.035714285714286,15.552388,20
ualbany_great_danes,12.870967741935484,3.645161290322581,8.161290322580646,16.64516129032258,1.4516129032258065,0.0,13.387096774193548,14.709677419354838,44.53092351090908,33.94265090247813,64.81678025614443,35.67741935483871,22,31,East,15.125,15.100484,21
old_dominion_monarchs,11.870967741935484,3.870967741935484,10.516129032258064,14.903225806451612,0.5483870967741935,0.1935483870967742,18.258064516129032,14.483870967741936,44.80820447198577,27.164475007072024,63.75850929359546,37.32258064516129,22,31,East,15.125,15.072169,22
