team,Avg_AST,Avg_BLK,Avg_STL,Avg_TOV,Avg_TOV_team,Avg_F_tech,Avg_F_personal,Avg_largest_lead,Avg_FGP_2,Avg_FGP_3,Avg_FT_Percentage,Avg_Total_Rebounds,Total_Wins,Total_Matches,Region
abilene_christian_wildcats,16.1,1.9333333333333333,7.666666666666667,14.333333333333334,0.6,0.26666666666666666,15.966666666666667,16.9,49.92204941858362,35.31745190473933,76.36284819091303,34.03333333333333,17,30,West
air_force_falcons,12.806451612903226,2.064516129032258,11.161290322580646,13.161290322580646,1.1290322580645162,0.0967741935483871,17.774193548387096,11.483870967741936,41.59592370354701,28.51789136356156,75.48557187891814,34.225806451612904,18,31,West
arizona_wildcats,14.384615384615385,4.0,10.5,12.961538461538462,0.8076923076923077,0.11538461538461539,17.115384615384617,17.923076923076923,47.97331894961318,34.380406744957824,70.97314450255627,32.76923076923077,19,26,West
baylor_bears,17.606060606060606,3.9393939393939394,6.696969696969697,12.606060606060606,0.24242424242424243,0.3333333333333333,14.696969696969697,22.818181818181817,51.34852186750365,34.590853171131776,74.23492266539941,39.333333333333336,27,33,West
byu_cougars,20.62962962962963,4.7407407407407405,9.851851851851851,12.481481481481481,0.5555555555555556,0.07407407407407407,15.814814814814815,26.333333333333332,54.37780272668669,32.92661241283258,75.54964179807138,40.25925925925926,24,27,West
california_baptist_lancers,19.233333333333334,4.366666666666666,9.566666666666666,14.766666666666667,0.3,0.16666666666666666,17.9,14.533333333333333,55.267860265428794,31.600007913636762,69.27556604694286,38.6,22,30,West
colorado_buffaloes,14.033333333333333,3.6,10.766666666666667,14.333333333333334,0.6333333333333333,0.1,17.3,15.766666666666667,46.19208378500455,30.258050149407218,68.86770088356775,36.36666666666667,22,30,West
colorado_state_rams,14.3125,3.125,4.6875,9.5625,0.34375,0.03125,11.65625,14.0,45.795706697926526,34.58469991757026,78.52523859737138,37.78125,21,32,West
creighton_bluejays,20.896551724137932,2.8620689655172415,7.517241379310345,12.793103448275861,0.4482758620689655,0.034482758620689655,15.724137931034482,18.06896551724138,53.845236165204035,36.08030437551513,74.08757446216657,35.89655172413793,20,29,West
gonzaga_bulldogs,14.75,4.0,7.84375,14.84375,0.78125,0.125,15.5,20.5,47.45487223588554,34.79580068436966,77.38535131452922,40.625,26,32,West
grand_canyon_lopes,11.733333333333333,2.533333333333333,12.466666666666667,16.8,0.7,0.06666666666666667,20.4,13.366666666666667,41.91152566006769,30.77404846661235,70.52924420870478,35.6,21,30,West
hawaii_rainbow_wahine,12.068965517241379,2.896551724137931,7.551724137931035,15.413793103448276,0.7931034482758621,0.10344827586206896,16.79310344827586,11.310344827586206,45.67138493549967,33.339235802959045,69.01954237968586,35.86206896551724,20,29,West
idaho_state_bengals,15.8,2.7666666666666666,9.166666666666666,14.266666666666667,0.4666666666666667,0.03333333333333333,17.1,13.233333333333333,46.67804347782453,30.97331149579097,71.97877750044933,35.36666666666667,19,30,West
kansas_state_wildcats,17.06451612903226,5.32258064516129,7.548387096774194,13.612903225806452,0.3225806451612903,0.0967741935483871,15.612903225806452,16.322580645161292,47.15533194100767,28.08963221325819,74.00019119372362,36.58064516129032,19,31,West
long_beach_state_beach,14.0,3.185185185185185,11.851851851851851,13.592592592592593,0.48148148148148145,0.0,15.777777777777779,12.88888888888889,46.63905343487751,26.442092562897916,69.47938621544874,30.814814814814813,19,27,West
montana_lady_griz,12.766666666666667,4.766666666666667,5.366666666666666,14.033333333333333,0.4,0.06666666666666667,13.933333333333334,14.466666666666667,46.98950054325046,31.404598170171173,73.51473778112626,41.2,19,30,West
montana_state_bobcats,12.647058823529411,2.088235294117647,9.205882352941176,11.705882352941176,0.35294117647058826,0.0,17.323529411764707,12.764705882352942,42.84905815187317,31.326923110994713,78.36895929115262,37.38235294117647,22,34,West
nebraska_cornhuskers,17.625,3.84375,7.375,14.125,0.375,0.125,16.5,21.5,50.42171224453955,36.56815428281999,72.19971204497077,42.09375,24,32,West
nevada_wolf_pack,12.551724137931034,1.793103448275862,8.96551724137931,12.758620689655173,0.4482758620689655,0.0,16.482758620689655,11.793103448275861,45.3338598418802,30.303282334300107,80.40406273164895,35.55172413793103,19,29,West
new_mexico_lobos,16.233333333333334,4.3,8.166666666666666,13.6,0.3,0.16666666666666666,13.066666666666666,16.066666666666666,53.181998822229325,34.71825805387544,75.21365768734191,36.86666666666667,22,30,West
north_texas_mean_green,11.88888888888889,3.0,6.444444444444445,14.444444444444445,0.2962962962962963,0.07407407407407407,15.925925925925926,14.0,46.2062908991723,30.590761011027183,65.5486980073843,38.48148148148148,16,27,West
northern_arizona_lumberjacks,15.161290322580646,2.903225806451613,8.0,15.064516129032258,0.22580645161290322,0.1935483870967742,18.032258064516128,11.096774193548388,47.03338260068612,37.682645043902994,72.02314176046788,36.87096774193548,17,31,West
oklahoma_sooners,19.09375,3.0,9.75,18.8125,0.21875,0.0625,19.21875,15.40625,50.48912171550474,34.7761135212923,76.50804874862428,40.9375,24,32,West
oregon_ducks,14.793103448275861,4.103448275862069,8.10344827586207,13.310344827586206,0.5172413793103449,0.06896551724137931,16.551724137931036,16.20689655172414,47.945637179218835,33.79993920678725,70.7322951878812,39.241379310344826,18,29,West
portland_pilots,18.17241379310345,5.0344827586206895,11.344827586206897,16.482758620689655,0.7241379310344828,0.06896551724137931,18.93103448275862,16.586206896551722,52.38861317416554,26.74095327692136,70.963399448506,37.41379310344828,19,29,West
