team,Avg_AST,Avg_BLK,Avg_STL,Avg_TOV,Avg_TOV_team,Avg_F_tech,Avg_F_personal,Avg_largest_lead,Avg_FGP_2,Avg_FGP_3,Avg_FT_Percentage,Avg_Total_Rebounds,Total_Wins,Total_Matches,Region,Ranking_Score,Predicted_Ranking_Score,Rank
south_carolina_gamecocks,14.193548387096774,7.774193548387097,6.290322580645161,14.64516129032258,0.7096774193548387,0.0,13.67741935483871,25.193548387096776,47.65293107586507,31.55782655430613,67.61424962946138,47.64516129032258,29,31,North,26.28125,26.20851,1
florida_gulf_coast_eagles,17.689655172413794,3.2758620689655173,10.379310344827584,11.275862068965518,0.7931034482758621,0.0,15.20689655172414,25.24137931034483,59.28370903981288,32.95684767716187,65.2433170679694,34.86206896551724,27,29,North,24.3,24.282066,2
stephen_f_austin_ladyjacks,16.103448275862068,4.275862068965517,12.275862068965518,15.93103448275862,0.9655172413793104,0.2758620689655172,17.06896551724138,23.06896551724138,51.39811331340965,32.980849717813385,71.11150250212445,35.724137931034484,25,29,North,20.833333333333336,20.822994,3
ucf_knights,13.592592592592592,3.4444444444444446,11.25925925925926,15.703703703703704,1.0,0.037037037037037,13.666666666666666,16.444444444444443,43.81134594343289,30.73659976583953,70.1903413391304,37.407407407407405,24,27,North,20.57142857142857,20.52519,4
middle_tennessee_blue_raiders,12.666666666666666,3.8,8.966666666666667,13.033333333333331,0.8,0.0333333333333333,18.23333333333333,17.866666666666667,47.52534623922562,33.28002930377484,75.1398872340823,35.9,23,30,North,17.06451612903226,17.046116,5
charleston_cougars,14.366666666666667,4.1,11.333333333333334,13.266666666666667,0.2666666666666666,0.0666666666666666,15.1,17.0,46.04866052444383,28.50637842956527,75.1734825687915,38.8,17,30,North,9.32258064516129,16.867115,6
tennessee_lady_volunteers,14.64516129032258,5.967741935483871,6.290322580645161,17.193548387096776,0.5161290322580645,0.064516129032258,15.516129032258064,17.032258064516128,45.14562835576426,29.801120577953085,63.51818318387453,47.935483870967744,23,31,North,16.53125,16.516253,7
belmont_bruins,15.482758620689657,4.379310344827586,8.931034482758621,12.827586206896552,0.4482758620689655,0.0,14.689655172413794,19.689655172413797,51.28952416207876,32.90893962141185,69.21069545187866,35.06896551724138,22,29,North,16.133333333333333,16.13039,8
jacksonville_state_gamecocks,10.482758620689657,1.0,6.896551724137931,11.89655172413793,0.5172413793103449,0.0344827586206896,15.89655172413793,15.689655172413794,45.08470435527792,29.22899523136363,68.6240605274276,38.93103448275862,22,29,North,16.133333333333333,16.100212,9
jackson_state_lady_tigers,14.51851851851852,5.0,8.814814814814815,15.814814814814817,0.3333333333333333,0.1111111111111111,16.14814814814815,23.59259259259259,49.02440160467717,30.97210536409023,68.87887180774378,47.07407407407408,21,27,North,15.75,15.745193,10
charlotte_49ers,11.709677419354838,4.709677419354839,6.67741935483871,14.774193548387096,0.8064516129032258,0.032258064516129,15.32258064516129,13.709677419354838,43.58238025672473,29.00911157549267,73.61317773520325,38.03225806451613,22,31,North,15.125,15.118592,11
ole_miss_rebels,14.413793103448276,4.413793103448276,9.448275862068966,14.413793103448276,0.5517241379310345,0.3103448275862069,17.20689655172414,18.448275862068964,45.8184962821118,26.982189266672023,67.91534843408384,39.06896551724138,21,29,North,14.7,14.691846,12
lsu_tigers,14.178571428571429,4.107142857142857,8.25,13.678571428571429,0.5357142857142857,0.1071428571428571,14.5,19.571428571428573,47.07416013079101,34.48494070674521,66.31039597007603,43.535714285714285,23,28,North,18.24137931034483,14.317846,13
